"","Irrigation","Yield","simulation"
"1",257.2239002,5704.769034,"V100F100G0"
"2",278.8239002,6168.355975,"V100F100G10"
"3",481.3239002,12050.34367,"V100F100G100"
"4",301.3239002,7135.719991,"V100F100G20"
"5",323.8239002,8130.957623,"V100F100G30"
"6",346.3239002,9132.064203,"V100F100G40"
"7",368.8239002,10060.49029,"V100F100G50"
"8",391.3239002,10922.09613,"V100F100G60"
"9",413.8239002,11693.82176,"V100F100G70"
"10",436.3239002,12045.24244,"V100F100G80"
"11",458.8239002,12050.34367,"V100F100G90"
