Growing season report,,Version:,4,,,,,,,,,,
0 ,,Build date:,2020-05-06,,,,,,,,,,
,,Run date:,2020-05-17,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,(above,,,,,,
,,,,,,,ground),,,,,Soil,Soil
,,,Crop,Planting,Flowering,Maturity,biomass,Evapotranspiration,Evapotranspiration,Transpiration,Transpiration,evaporation,evaporation
Irrigation,Yield,Precipitation,name,date,date,date,production,maximum,actual,potential,actual,pot.,act.
(mm),(kg/ha),(mm),,YYYY.DDD,YYYY.DDD,YYYY.DDD,(kg/ha),(mm),(mm),(mm),(mm),(mm),(mm)
,,,,,,,,,,,,,
436.3239002,12000.98847,33.7700012,Corn_grain_warmer,120,186,249,22819.95708,805.8177775,501.6309872,426.0487858,424.2178814,254.8776948,77.41310586
