"","Irrigation","Yield","simulation"
"1",33.12390025,3.177334347,"V100F100G0"
"2",76.32390022,0.468051094,"V100F100G10"
"3",481.3239002,12050.34367,"V100F100G100"
"4",121.3239002,46.49049593,"V100F100G20"
"5",166.3239002,1079.385125,"V100F100G30"
"6",211.3239002,2413.903294,"V100F100G40"
"7",256.3239002,4267.430437,"V100F100G50"
"8",301.3239002,5915.372152,"V100F100G60"
"9",346.3239002,8514.485163,"V100F100G70"
"10",391.3239002,10669.85453,"V100F100G80"
"11",436.3239002,12000.98847,"V100F100G90"
