"DOY","Irrigation","Growth Stage","Gr"
274,7.272597008,"germination","V"
75,25,"Active growth&accrescence","V"
99,25,"Active growth&accrescence","V"
115,25,"Active growth&accrescence","V"
123,25,"Active growth&accrescence","V"
130,25,"Active growth&accrescence","V"
136,25,"Active growth&accrescence","V"
140,25,"Active growth&accrescence","V"
144,25,"Active growth&accrescence","V"
148,25,"Active growth&accrescence","V"
152,25,"Active growth&accrescence","V"
155,25,"Active growth&accrescence","V"
159,25,"Active growth&accrescence","V"
163,25,"Active growth&accrescence","V"
167,25,"Active growth&accrescence","V"
174,25,"flowering(anthesis)&culminescence","U"
178,25,"flowering(anthesis)&culminescence","U"
182,25,"yield formation&culminescence","G"
186,25,"yield formation&culminescence","G"
189,25,"yield formation&culminescence","G"
192,25,"yield formation&senescence","G"
196,25,"yield formation&senescence","G"
200,25,"yield formation&senescence","G"
