DOY,Instreamflow,Average discharge
1,7.075,10.54330603
2,7.075,9.391754255
3,7.075,8.731027825
4,7.075,8.263799849
5,7.075,9.330873034
6,7.075,11.66512512
7,7.075,11.33287412
8,7.075,11.38809197
9,7.075,12.66235008
10,7.075,15.14479367
11,7.075,14.20089877
12,7.075,17.88869614
13,7.075,15.86687327
14,7.075,13.52318223
15,7.075,12.11819467
16,7.075,11.53439568
17,7.075,11.44944514
18,7.075,15.71113061
19,7.075,18.93453169
20,7.075,17.59420094
21,7.075,15.63089954
22,7.075,14.09707033
23,7.075,13.12957806
24,7.075,13.695915
25,7.075,13.78558501
26,7.075,13.09182226
27,7.075,12.36974266
28,7.075,11.89779521
29,7.075,13.30891809
30,7.075,14.1961793
31,7.075,14.25281299
32,7.075,13.67231763
33,7.075,14.79555256
34,7.075,16.52288022
35,7.075,22.89889027
36,7.075,27.48621949
37,7.075,19.5622218
38,7.075,17.80657729
39,7.075,16.85324344
40,7.075,17.34406879
41,7.075,32.40391192
42,7.075,27.1322589
43,7.075,20.50139723
44,7.075,19.85482922
45,7.075,18.97228749
46,7.075,21.10077049
47,7.075,22.55908811
48,7.075,24.77252165
49,7.075,22.09186013
50,7.075,21.11492891
51,7.075,19.25545596
52,7.075,18.74103324
53,7.075,18.16997683
54,7.075,16.27746755
55,7.075,14.80971098
56,7.075,13.6581592
57,7.075,12.9549575
58,7.075,12.72370325
59,7.075,13.38914916
60,9.905,15.76304483
61,9.905,16.66446446
62,9.905,17.80185781
63,9.905,17.21664298
64,9.905,20.69017621
65,9.905,20.2843014
66,9.905,18.66080217
67,9.905,23.47938564
68,9.905,37.92569708
69,9.905,32.16321872
70,9.905,23.36611825
71,9.905,20.51555565
72,9.905,23.34252088
73,9.905,27.68443742
74,9.905,34.31529909
75,9.905,25.18311593
76,9.905,21.78981377
77,9.905,23.31420403
78,9.905,18.85430063
79,9.905,16.75413448
80,9.905,16.0650912
81,9.905,16.749415
82,9.905,17.37238563
83,9.905,17.54228672
84,9.905,16.59933571
85,9.905,16.21139491
86,9.905,16.22366554
87,9.905,19.57779607
88,9.905,21.0889718
89,9.905,18.20348509
90,9.905,15.78522636
91,9.905,14.35145001
92,9.905,13.51185549
93,9.905,12.95023803
94,9.905,13.54961129
95,9.905,15.64505797
96,9.905,17.67915148
97,9.905,19.18938332
98,9.905,19.06667698
99,9.905,17.06090032
100,9.905,15.59314375
101,9.905,14.95601469
102,9.905,14.64452937
103,9.905,14.27641036
104,9.905,14.07819243
105,9.905,13.99796137
106,9.905,13.16261438
107,9.905,12.38862056
108,9.905,14.85690573
109,9.905,30.35565998
110,9.905,19.69436709
111,9.905,15.39964529
112,9.905,13.44578285
113,9.905,13.15317543
114,9.905,13.8799745
115,9.905,14.63037095
116,9.905,16.24348733
117,9.905,15.00462528
118,9.905,13.28862435
119,9.905,11.91431338
120,9.905,10.75521044
121,7.075,9.781110901
122,7.075,9.335120561
123,7.075,9.446972107
124,7.075,10.25400225
125,7.075,10.31582736
